11-28 01:17:15: Training starting...
Episode 244: Reward: 19.00, Epsilon: 0.2929, k: 1.0476, Noise Penalty Scale: 0.1000
Episode 245: Reward: 9.00, Epsilon: 0.2914, k: 0.0952, Noise Penalty Scale: 0.1000
Episode 246: Reward: 11.00, Epsilon: 0.2899, k: 0.2857, Noise Penalty Scale: 0.1000
Episode 247: Reward: 28.00, Epsilon: 0.2885, k: 1.9048, Noise Penalty Scale: 0.1000
Episode 248: Reward: 45.00, Epsilon: 0.2870, k: 3.5238, Noise Penalty Scale: 0.1000
Episode 249: Reward: 19.00, Epsilon: 0.2856, k: 1.0476, Noise Penalty Scale: 0.1000
Episode 250: Reward: 13.00, Epsilon: 0.2842, k: 0.4762, Noise Penalty Scale: 0.1000
Episode 251: Reward: 17.00, Epsilon: 0.2828, k: 0.8571, Noise Penalty Scale: 0.1000
Episode 252: Reward: 18.00, Epsilon: 0.2813, k: 0.9524, Noise Penalty Scale: 0.1000
Episode 253: Reward: 12.00, Epsilon: 0.2799, k: 0.3810, Noise Penalty Scale: 0.1000
Episode 254: Reward: 12.00, Epsilon: 0.2785, k: 0.3810, Noise Penalty Scale: 0.1000
Episode 255: Reward: 30.00, Epsilon: 0.2771, k: 2.0952, Noise Penalty Scale: 0.1000
Episode 256: Reward: 23.00, Epsilon: 0.2758, k: 1.4286, Noise Penalty Scale: 0.1000
Episode 257: Reward: 13.00, Epsilon: 0.2744, k: 0.4762, Noise Penalty Scale: 0.1000
Episode 258: Reward: 30.00, Epsilon: 0.2730, k: 2.0952, Noise Penalty Scale: 0.1000
Episode 259: Reward: 17.00, Epsilon: 0.2716, k: 0.8571, Noise Penalty Scale: 0.1000
Episode 260: Reward: 16.00, Epsilon: 0.2703, k: 0.7619, Noise Penalty Scale: 0.1000
Episode 261: Reward: 20.00, Epsilon: 0.2689, k: 1.1429, Noise Penalty Scale: 0.1000
Episode 262: Reward: 12.00, Epsilon: 0.2676, k: 0.3810, Noise Penalty Scale: 0.1000
Episode 263: Reward: 14.00, Epsilon: 0.2663, k: 0.5714, Noise Penalty Scale: 0.1000
Episode 264: Reward: 24.00, Epsilon: 0.2649, k: 1.5238, Noise Penalty Scale: 0.1000
Episode 265: Reward: 26.00, Epsilon: 0.2636, k: 1.7143, Noise Penalty Scale: 0.1000
Episode 266: Reward: 14.00, Epsilon: 0.2623, k: 0.5714, Noise Penalty Scale: 0.1000
